y	m	d	Boves_SIMN	Boves_ARPA
1988	1	1	0	NA
1988	1	2	0	NA
1988	1	3	0	NA
1988	1	4	0	NA
1988	1	5	0	NA
1988	1	6	0	NA
1988	1	7	0	NA
1988	1	8	0	NA
1988	1	9	0	NA
1988	1	10	0	NA
1988	1	11	0	NA
1988	1	12	0	NA
1988	1	13	0	NA
1988	1	14	42	NA
1988	1	15	0	18.6
1988	1	16	0	0
1988	1	17	0	0
1988	1	18	0	0
1988	1	19	14	5
1988	1	20	0	3.2
1988	1	21	11	0
1988	1	22	0	0
1988	1	23	0	0
1988	1	24	0	0
1988	1	25	0	0
1988	1	26	0	0.2
1988	1	27	0	0
1988	1	28	0	0
1988	1	29	3	0
1988	1	30	0	0
1988	1	31	0	0
1988	2	1	0	0
1988	2	2	0	0
1988	2	3	0	0
1988	2	4	0	0
1988	2	5	0	0
1988	2	6	0	0
1988	2	7	0	3.2
1988	2	8	0	0.4
1988	2	9	0	0
1988	2	10	0	0
1988	2	11	0	0
1988	2	12	0	0
1988	2	13	0	0
1988	2	14	0	0
1988	2	15	0	0
1988	2	16	0	0
1988	2	17	0	0
1988	2	18	0	0
1988	2	19	0	0
1988	2	20	0	0
1988	2	21	0	0
1988	2	22	0	0
1988	2	23	0	0
1988	2	24	0	0
1988	2	25	0	0
1988	2	26	0	0
1988	2	27	0	0
1988	2	28	0	0
1988	2	29	0	0
1988	3	1	0	0
1988	3	2	0	0
1988	3	3	0	0
1988	3	4	0	0
1988	3	5	5	0
1988	3	6	0	4.4
1988	3	7	0	0.2
1988	3	8	0	0.2
1988	3	9	0	0
1988	3	10	0	0
1988	3	11	0	0
1988	3	12	0	0
1988	3	13	0	0
1988	3	14	0	0
1988	3	15	0	0
1988	3	16	0	0
1988	3	17	0	0
1988	3	18	0	0
1988	3	19	0	0
1988	3	20	0	0
1988	3	21	0	0
1988	3	22	0	0
1988	3	23	0	0
1988	3	24	0	0
1988	3	25	0	0
1988	3	26	0	0
1988	3	27	0	0
1988	3	28	0	0
1988	3	29	0	0
1988	3	30	0	5.8
1988	3	31	4	41.4
1988	4	1	0	8
1988	4	2	0	0
1988	4	3	0	2
1988	4	4	24	13.8
1988	4	5	0	0.4
1988	4	6	0	9.8
1988	4	7	45	20.6
1988	4	8	0	8.6
1988	4	9	23	0
1988	4	10	0	0
1988	4	11	0	0
1988	4	12	13	0.2
1988	4	13	0	11.6
1988	4	14	0	0.8
1988	4	15	0	0
1988	4	16	0	0
1988	4	17	0	2
1988	4	18	0	0
1988	4	19	0	0
1988	4	20	12	9
1988	4	21	0	0
1988	4	22	0	0
1988	4	23	0	0
1988	4	24	0	0
1988	4	25	60	45.2
1988	4	26	0	0
1988	4	27	8	0
1988	4	28	17	16.4
1988	4	29	10	5.6
1988	4	30	0	10
1988	5	1	0	0
1988	5	2	0	0
1988	5	3	0	1.2
1988	5	4	13	0
1988	5	5	0	12.4
1988	5	6	0	0
1988	5	7	0	0
1988	5	8	5	4.6
1988	5	9	11	9.4
1988	5	10	0	0
1988	5	11	0	0.8
1988	5	12	0	59.6
1988	5	13	0	66.2
1988	5	14	163	33.2
1988	5	15	18	21.6
1988	5	16	0	0.2
1988	5	17	0	0
1988	5	18	5	0
1988	5	19	0	13.2
1988	5	20	0	2.2
1988	5	21	0	17
1988	5	22	0	0.8
1988	5	23	0	0
1988	5	24	0	0
1988	5	25	0	0
1988	5	26	0	0
1988	5	27	0	0
1988	5	28	2	1.4
1988	5	29	0	21
1988	5	30	0	0.8
1988	5	31	0	0
