y	m	d	Mondovi_Simn	Mondovi_arpa
1994	1	1	0	0
1994	1	2	0	0
1994	1	3	0	0
1994	1	4	0	0
1994	1	5	0	0
1994	1	6	0.2	0
1994	1	7	25.2	17.8
1994	1	8	21.6	17.4
1994	1	9	10.4	8
1994	1	10	0	0
1994	1	11	37	29.2
1994	1	12	2.6	1.8
1994	1	13	0	0
1994	1	14	0	0
1994	1	15	0	0
1994	1	16	7.6	4.2
1994	1	17	0	0
1994	1	18	2.8	1.4
1994	1	19	0.6	0.2
1994	1	20	0	0
1994	1	21	0	0
1994	1	22	0	0
1994	1	23	0	0
1994	1	24	0	0
1994	1	25	0	0
1994	1	26	0	0
1994	1	27	0	0
1994	1	28	0	0
1994	1	29	0	0
1994	1	30	0	0
1994	1	31	0	0
1994	2	1	0	0
1994	2	2	0	0
1994	2	3	0	0
1994	2	4	7	4.2
1994	2	5	70	67.2
1994	2	6	39.2	16.2
1994	2	7	0	0
1994	2	8	2.6	2.2
1994	2	9	2	1.4
1994	2	10	0	0
1994	2	11	0	0
1994	2	12	0	0
1994	2	13	0	0
1994	2	14	0	0
1994	2	15	3	1.8
1994	2	16	0.8	0
1994	2	17	0	0
1994	2	18	0	0
1994	2	19	0	0
1994	2	20	0	0
1994	2	21	0	0
1994	2	22	0	0
1994	2	23	0	0
1994	2	24	0	0.2
1994	2	25	0	0
1994	2	26	0	0
1994	2	27	0	0
1994	2	28	8.8	6.4
1994	3	1	3.6	3
1994	3	2	2.8	2
1994	3	3	0	0
1994	3	4	0	0
1994	3	5	0	0
1994	3	6	0	0
1994	3	7	0	0
1994	3	8	0	0
1994	3	9	0	0
1994	3	10	0	0
1994	3	11	0	0
1994	3	12	0	0
1994	3	13	0	0
1994	3	14	0	0
1994	3	15	0	0
1994	3	16	0	0
1994	3	17	0	0
1994	3	18	0	0
1994	3	19	0	0
1994	3	20	0	0
1994	3	21	0	0
1994	3	22	0	0
1994	3	23	0	0
1994	3	24	0	0
1994	3	25	0	0
1994	3	26	0	0
1994	3	27	0	0
1994	3	28	0	0
1994	3	29	0	0
